"","X","match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"1347",1347,"2004-01-11","Leicester","Chelsea","Ian Walker","Nikos Dabizas","Steve Howey","Callum Davidson","Jordan Stewart","Andy Impey","Billy McKinlay","Lilian Nalis","James Scowcroft","Marcus Bent","Paul Dickov","Carlo Cudicini","Mario Melchiot","Marcel Desailly","John Terry","Celestine Babayaro","Joe Cole","Frank Lampard","Claude Makelele","Jesper Gronkjaer","Eidur Gudjohnsen","Jimmy Floyd Hasselbaink"
"1348",1348,"2004-01-11","Man United","Newcastle","Tim Howard","Gary Neville","John O'Shea","Mikael Silvestre","Rio Ferdinand","Phil Neville","Ryan Giggs","Roy Keane"," Kleberson","Paul Scholes","Ruud Van Nistelrooy","Shay Given","Aaron Hughes","Andy O'Brien","Jonathan Woodgate","Nolberto Solano","Gary Speed","Olivier Bernard","Kieron Dyer","Jermaine Jenas","Laurent Robert","Alan Shearer"
"1349",1349,"2004-01-17","Bolton","Portsmouth","Jussi J‰‰skel‰inen","Nicky Hunt","Bruno N'Gotty","Emerson Thome","Anthony Barness","Ivan Campo","Youri Djorkaeff","Kevin Nolan","Jay Jay Okocha","Kevin Davies"," Javi Moreno","Shaka Hislop","Petri Pasanen","Dejan Stefanovic","Arjan De Zeeuw","Linvoy Primus","Patrik Berger","Eyal Berkovic","Richard Hughes","Alexei Smertin","Teddy Sheringham"," Yakubu Ayegbeni"
"1350",1350,"2004-01-17","Everton","Charlton","Nigel Martyn","Alessandro Pistone","David Unsworth","Alan Stubbs","Kevin Kilbane","Gary Naysmith","Lee Carsley","Thomas Gravesen","Duncan Ferguson","Francis Jeffers","Wayne Rooney","Dean Kiely","Paul Konchesky","Mark Fish","Hermann Hreidarsson","Chris Perry","Radostin Kishishev","Matt Holland","Graham Stuart","Jason Euell","Carlton Cole","Paolo Di Canio"
"1351",1351,"2004-01-17","Man City","Blackburn","David James","Sylvain Distin","SUN Ji Hai","Richard Dunne","Joey Barton","Paul Bosvelt","Trevor Sinclair","Michael Tarnat","Antoine Sibierski","Nicolas Anelka","Jon Macken","Brad Friedel","Markus Babbel","Brett Emerton","Vratislav Gresko","Nils-Eric Johansson","Lucas Neill","Jonathan Douglas","Garry Flitcroft"," Tugay Kerimoglu","Andrew Cole","Dwight Yorke"
"1352",1352,"2004-01-17","Middlesbrough","Leicester","Mark Schwarzer","Danny Mills","Colin Cooper","Chris Riggott","Franck Queudrue","George Boateng","Stewart Downing"," Juninho","Bolo Zenden","Joseph-Desire Job","Szilard Nemeth","Ian Walker","John Curtis","Nikos Dabizas","Callum Davidson","Riccy Scimeca","Jordan Stewart","Steve Guppy","Billy McKinlay","James Scowcroft","Marcus Bent","Paul Dickov"
"1353",1353,"2004-01-17","Southampton","Leeds","Antti Niemi","Jason Dodd","Danny Higginbotham","Fitz Hall","Michael Svensson","Rory Delap","Fabrice Fernandes","David Prutton","Anders Svensson","Brett Ormerod","Kevin Phillips","Paul Robinson","Garry Kelly","Zoumana Camara","Matt Kilgallon","James Milner","Ian Harte","Eirik Bakke","Seth Johnson","Jody Morris","Jermaine Pennant","Alan Smith"
"1354",1354,"2004-01-17","Tottenham","Liverpool","Kasey Keller","Stephen Carr","Anthony Gardner","Gary Doherty","Mauricio Taricco","Darren Anderton","Michael Brown","Stephane Dalmat","Simon Davies"," Helder Postiga","Robbie Keane","Paul Jones","Djimi Traore","Stephane Henchoz","Sami Hyypia","Igor Biscan","Bruno Cheyrou","Dietmar Hamann","Danny Murphy","Harry Kewell","Emile Heskey","Michael Owen"
"1355",1355,"2004-01-17","Wolves","Man United","Michael Oakes","Paul Butler","Jody Craddock","Denis Irwin","Lee Naylor","Paul Ince","Shaun Newton","Alex Rae","Mark Kennedy","Steffen Iversen","Kenny Miller","Tim Howard","John O'Shea","Mikael Silvestre","Rio Ferdinand","Phil Neville","Darren Fletcher","Quinton Fortune","Roy Keane","Paul Scholes","Cristiano Ronaldo","Ruud Van Nistelrooy"
"1356",1356,"2004-01-18","Aston Villa","Arsenal","Thomas Sorensen","Mark Delaney","JLloyd Samuel","Ronny Johnsen","Olof Mellberg","Gareth Barry","Lee Hendrie","Thomas Hitzlsperger","Peter Whittingham","Marcus Allback","Juan Pablo Angel","Jens Lehmann","Sol Campbell","Pascal Cygan","Bissan Lauren","Ashley Cole"," Gilberto Silva","Freddie Ljungberg","Robert Pires","Patrick Vieira","Thierry Henry","Nwankwo Kanu"
"1357",1357,"2004-01-18","Chelsea","Birmingham","Carlo Cudicini","William Gallas","Marcel Desailly","Glen Johnson","Wayne Bridge","Joe Cole","Frank Lampard","Claude Makelele","Jesper Gronkjaer","Eidur Gudjohnsen","Jimmy Floyd Hasselbaink","Maik Taylor","Kenny Cunningham","Jeff Kenna","Olivier Tebily","Darren Purse","Stephen Clemence","Bryan Hughes","Damien Johnson","Robbie Savage","Stern John","Clinton Morrison"
"1358",1358,"2004-01-19","Newcastle","Fulham","Shay Given","Aaron Hughes","Andy O'Brien","Jonathan Woodgate","Nolberto Solano","Gary Speed","Olivier Bernard","Kieron Dyer","Jermaine Jenas","Laurent Robert","Alan Shearer","Edwin van der Sar","Carlos Bocanegra","Alain Goma","Zat Knight","Martin Djetou","Lee Clark","Sean Davis","Sylvain Legwinski","Steed Malbranque","Luis Boa Morte","Barry Hayles"
"1359",1359,"2004-01-21","Wolves","Liverpool","Michael Oakes","Paul Butler","Jody Craddock","Denis Irwin","Lee Naylor","Paul Ince","Shaun Newton","Alex Rae","Mark Kennedy","Steffen Iversen","Kenny Miller","Jerzy Dudek","Steve Finnan","Sami Hyypia","Jamie Carragher","Igor Biscan","Bruno Cheyrou","Steven Gerrard","Dietmar Hamann","Harry Kewell","Emile Heskey","Michael Owen"
"1360",1360,"2004-01-31","Birmingham","Newcastle","Maik Taylor","Kenny Cunningham","Jeff Kenna","Olivier Tebily","Darren Purse","Bryan Hughes","Damien Johnson","Stan Lazaridis","Robbie Savage","Mikael Forssell","Clinton Morrison","Shay Given","Aaron Hughes","Andy O'Brien","Jonathan Woodgate","Gary Speed","Olivier Bernard","Darren Ambrose","Kieron Dyer","Jermaine Jenas","Laurent Robert","Alan Shearer"
"1361",1361,"2004-01-31","Charlton","Bolton","Dean Kiely","Mark Fish","Hermann Hreidarsson","Chris Perry","Radostin Kishishev","Matt Holland","Claus Jensen","Graham Stuart","Jason Euell","Paolo Di Canio","Jonatan Johansson","Jussi J‰‰skel‰inen","Nicky Hunt","Bruno N'Gotty","Emerson Thome","Anthony Barness","Ivan Campo","Per Frandsen","Stelios Giannakopoulos","Kevin Nolan","Kevin Davies","Henrik Pedersen"
"1362",1362,"2004-01-31","Fulham","Tottenham","Edwin van der Sar","Moritz Volz","Ian Pearce","Carlos Bocanegra","Zat Knight","Martin Djetou","Lee Clark","Sean Davis","Steed Malbranque","Luis Boa Morte","Barry Hayles","Kasey Keller","Stephen Carr","Anthony Gardner","Gary Doherty","Ledley King","Michael Brown","Stephane Dalmat","Simon Davies","Christian Ziege"," Helder Postiga","Robbie Keane"
"1363",1363,"2004-01-31","Leeds","Middlesbrough","Paul Robinson","Garry Kelly","Michael Duberry","Matt Kilgallon","Dominic Matteo","James Milner","Ian Harte","Eirik Bakke","Seth Johnson","Jermaine Pennant","Alan Smith","Mark Schwarzer","Andrew Davies","Chris Riggott","Gareth Southgate","Franck Queudrue","George Boateng"," Doriva"," Juninho","Gaizka Mendieta","Bolo Zenden","Massimo Maccarone"
"1364",1364,"2004-01-31","Leicester","Aston Villa","Ian Walker","John Curtis","Nikos Dabizas","Callum Davidson","Riccy Scimeca","Ben Thatcher","Keith Gillespie","Steve Guppy","Billy McKinlay","James Scowcroft","Marcus Bent","Thomas Sorensen","Mark Delaney","JLloyd Samuel","Olof Mellberg","Dion Dublin","Gareth Barry","Nolberto Solano","Thomas Hitzlsperger","Gavin McCann","Peter Crouch","Darius Vassell"
"1365",1365,"2004-01-31","Liverpool","Everton","Jerzy Dudek","Steve Finnan","Stephane Henchoz","Sami Hyypia","Jamie Carragher","Bruno Cheyrou","Steven Gerrard","Dietmar Hamann","Harry Kewell","Anthony Le Tallec","Michael Owen","Nigel Martyn","Alessandro Pistone","Alan Stubbs","Tony Hibbert","Kevin Kilbane","Gary Naysmith","Thomas Gravesen","Alex Nyarko","Duncan Ferguson","Tomasz Radzinski","Wayne Rooney"
