"","season","team","name","MV"
"171","20062007","Tottenham","Jermaine Jenas",11430000
"172","20062007","Tottenham","Steed Malbranque",7380000
"173","20062007","Tottenham","Edgar Davids",6750000
"174","20062007","Tottenham","Danny Murphy",5400000
"175","20062007","Tottenham","Hossam Ghaly",2700000
"176","20062007","Tottenham","Charlie Lee",45000
"177","20062007","Tottenham","Jamie O'Hara",0
"178","20062007","Tottenham","Adel Taarabt",0
"179","20062007","Tottenham","Mark Yeates",68000
"180","20062007","Tottenham","Andy Barcham",0
"181","20062007","Tottenham","Aaron Lennon",3150000
"182","20062007","Tottenham","Dimitar Berbatov",15300000
"183","20062007","Tottenham","Jermain Defoe",10980000
"184","20062007","Tottenham","Robbie Keane",9630000
"185","20062007","Tottenham","Mido",9450000
"186","20062007","Tottenham","Tomás Pekhart",450000
"187","20062007","Tottenham","Lee Barnard",45000
"188","20062007","Newcastle","Shay Given",7200000
"189","20062007","Newcastle","Steve Harper",1170000
"190","20062007","Newcastle","Pavel Srnicek †",9e+05
"191","20062007","Newcastle","Tim Krul",225000
"192","20062007","Newcastle","Fraser Forster",0
"193","20062007","Newcastle","Oguchi Onyewu",4500000
"194","20062007","Newcastle","Titus Bramble",3870000
"195","20062007","Newcastle","Abdoulaye Fayé",2160000
"196","20062007","Newcastle","Peter Ramage",1800000
"197","20062007","Newcastle","Steven Taylor",1800000
"198","20062007","Newcastle","Craig Moore",720000
"199","20062007","Newcastle","David Edgar",0
"200","20062007","Newcastle","Paul Huntington",0
"201","20062007","Newcastle","Celestine Babayaro",3600000
"202","20062007","Newcastle","Olivier Bernard",2700000
"203","20062007","Newcastle","Stephen Carr",3600000
"204","20062007","Newcastle","Scott Parker",11700000
"205","20062007","Newcastle","Emre Belözoglu",10800000
"206","20062007","Newcastle","James Milner",4230000
"207","20062007","Newcastle","Nicky Butt",3060000
"208","20062007","Newcastle","Matthew Pattison",45000
"209","20062007","Newcastle","Damien Duff",13500000
"210","20062007","Newcastle","Kieron Dyer",9e+06
"211","20062007","Newcastle","Nolberto Solano",5040000
"212","20062007","Newcastle","Antoine Sibierski",1980000
"213","20062007","Newcastle","Albert Luque",9e+06
"214","20062007","Newcastle","James Troisi",0
"215","20062007","Newcastle","Alan O'Brien",0
"216","20062007","Newcastle","Charles N'Zogbia",3150000
"217","20062007","Newcastle","Lomana LuaLua",4950000
"218","20062007","Newcastle","Michael Owen",1.8e+07
