"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTGS","ATGS","HTGC","ATGC","HTP","ATP","HM1","HM2","HM3","HM4","HM5","AM1","AM2","AM3","AM4","AM5","HomeTeamLP","AwayTeamLP","MW","HTWinStreak3","HTWinStreak5","HTLossStreak3","HTLossStreak5","ATWinStreak3","ATWinStreak5","ATLossStreak3","ATLossStreak5","HTGD","ATGD","DiffPts","DiffFormPts","DiffLP"
"48",2000-09-10,"Derby","Charlton",2,2,"D",9,8,10,9,0.6,0.8,"1","2","2","3","0","1","1","1","4","0",16,18,5,0,0,0,1,0,0,0,1,-0.2,-0.2,-0.2,-0.2,-2
"49",2000-09-11,"Tottenham","WestHam",1,0,"H",7,5,6,8,1.4,0.4,"3","3","4","7","0","1","2","2","2","0",10,9,5,0,0,0,1,0,0,0,1,0.2,-0.6,1,1,1
"50",2000-09-16,"Arsenal","Coventry",2,1,"H",9,5,6,7,1.4,1.2,"1","4","7","7","0","0","3","6","6","0",2,14,5,0,0,0,1,0,0,0,1,0.6,-0.4,0.2,0.2,-12
"51",2000-09-16,"AstonVilla","Bradford",2,0,"H",6,3,5,8,1.33333333333333,0.833333333333333,"3","6","6","7","8","1","1","2","5","5",6,17,6,0,0,0,0,0,0,0,0,0.166666666666667,-0.833333333333333,0.5,0.5,-11
"52",2000-09-16,"Charlton","Tottenham",1,0,"H",10,8,11,6,0.833333333333333,1.66666666666667,"1","2","2","2","5","3","6","6","7","10",18,10,6,0,0,0,0,0,0,0,0,-0.166666666666667,0.333333333333333,-0.833333333333333,-0.333333333333333,8
"53",2000-09-16,"Everton","ManUnited",1,3,"A",9,14,8,3,1.16666666666667,1.83333333333333,"3","3","4","7","7","3","6","7","8","11",13,1,6,0,0,0,0,0,0,0,0,0.166666666666667,1.83333333333333,-0.666666666666667,-0.166666666666667,12
"54",2000-09-16,"Leeds","Ipswich",1,2,"A",6,5,5,8,1.16666666666667,0.666666666666667,"0","1","1","4","7","0","0","3","4","4",3,18,6,0,0,0,0,0,0,0,0,0.166666666666667,-0.5,0.5,0.5,-15
"55",2000-09-16,"Southampton","Newcastle",2,0,"H",7,7,9,4,0.5,1.66666666666667,"0","1","2","2","3","1","4","7","10","10",15,11,6,0,0,0,0,0,0,0,0,-0.333333333333333,0.5,-1.16666666666667,-0.666666666666667,4
"56",2000-09-16,"Sunderland","Derby",2,1,"H",4,11,9,12,0.666666666666667,0.666666666666667,"0","1","1","1","4","1","2","3","3","4",7,16,6,0,0,0,0,0,0,0,0,-0.833333333333333,-0.166666666666667,0,0,-9
"57",2000-09-17,"Chelsea","Leicester",0,2,"A",7,4,7,1,1,1.83333333333333,"1","2","3","3","6","3","6","7","10","11",5,8,6,0,0,0,0,0,0,0,0,0,0.5,-0.833333333333333,-0.166666666666667,-3
"58",2000-09-17,"ManCity","Middlesbrough",1,1,"D",9,9,12,9,1,0.833333333333333,"0","3","3","6","6","0","1","1","2","5",18,12,6,0,0,0,0,0,0,0,0,-0.5,0,0.166666666666667,0.166666666666667,6
"59",2000-09-17,"WestHam","Liverpool",1,1,"D",5,10,9,8,0.333333333333333,1.66666666666667,"0","1","2","2","2","3","6","7","7","10",9,4,6,0,0,0,0,0,0,0,0,-0.666666666666667,0.333333333333333,-1.33333333333333,-0.833333333333333,5
"60",2000-09-23,"Bradford","Southampton",0,1,"A",3,7,8,9,0.833333333333333,0.5,"1","1","2","5","5","0","1","2","2","3",17,15,6,0,0,0,0,0,0,0,0,-0.833333333333333,-0.333333333333333,0.333333333333333,0.333333333333333,2
"61",2000-09-23,"Coventry","WestHam",0,3,"A",6,6,9,10,1,0.428571428571429,"0","1","1","4","7","1","1","2","3","3",14,9,7,0,0,0,0,0,0,0,0,-0.428571428571429,-0.571428571428571,0.571428571428571,0.571428571428571,5
"62",2000-09-23,"Derby","Leeds",1,1,"D",12,7,14,6,0.571428571428571,1.14285714285714,"0","1","2","3","3","1","1","2","2","5",16,3,7,0,0,0,0,0,0,0,0,-0.285714285714286,0.142857142857143,-0.571428571428571,-0.285714285714286,13
"63",2000-09-23,"Ipswich","Arsenal",1,1,"D",7,12,9,8,1,1.57142857142857,"3","3","3","6","7","3","4","5","8","11",18,2,7,0,0,0,0,0,0,0,0,-0.285714285714286,0.571428571428571,-0.571428571428571,-0.142857142857143,16
"64",2000-09-23,"Liverpool","Sunderland",1,1,"D",11,6,9,10,1.57142857142857,1,"1","4","7","8","8","3","3","4","4","4",4,7,7,0,0,0,0,0,0,0,0,0.285714285714286,-0.571428571428571,0.571428571428571,0.571428571428571,-3
"65",2000-09-23,"ManUnited","Chelsea",3,3,"D",17,7,4,9,2,0.857142857142857,"3","6","9","10","11","0","1","2","3","3",1,5,7,1,0,0,0,0,0,0,0,1.85714285714286,-0.285714285714286,1.14285714285714,0.857142857142857,-4
"66",2000-09-23,"Middlesbrough","AstonVilla",1,1,"D",10,7,10,6,0.857142857142857,1.28571428571429,"1","1","2","2","3","1","4","7","7","8",12,6,7,0,0,0,0,0,0,0,0,0,0.142857142857143,-0.428571428571429,-0.714285714285714,6
"67",2000-09-23,"Newcastle","Charlton",0,1,"A",7,11,6,11,1.42857142857143,1.14285714285714,"0","1","4","7","10","3","4","5","5","5",11,18,7,0,0,0,0,0,0,0,0,0.142857142857143,0,0.285714285714286,0.285714285714286,-7
"68",2000-09-23,"Tottenham","ManCity",0,0,"D",8,10,7,13,1.42857142857143,1,"0","3","6","6","7","1","1","4","4","7",10,18,7,0,0,0,0,0,0,0,0,0.142857142857143,-0.428571428571429,0.428571428571429,0,-8
"69",2000-09-24,"Leicester","Everton",1,1,"D",6,10,1,11,2,1,"3","6","9","10","13","0","3","3","4","7",8,13,7,1,0,0,0,0,0,0,0,0.714285714285714,-0.142857142857143,1,0.285714285714286,-5
