"","match_date","FTR","IWH","IWD","IWA","hg1_score","hd1_score","hd2_score","hd3_score","hd4_score","hd5_score","hd6_score","hd7_score","hm1_score","hm2_score","hm3_score","hm4_score","hm5_score","hm6_score","hm7_score","hf1_score","hf2_score","hf3_score","hf4_score","ag1_score","ad1_score","ad2_score","ad3_score","ad4_score","ad5_score","ad6_score","ad7_score","am1_score","am2_score","am3_score","am4_score","am5_score","am6_score","am7_score","af1_score","af2_score","af3_score","af4_score","af5_score","ad8_score","hd8_score","FTR_H","FTR_A","FTR_D"
"1550","2008-09-20","H","1.9","3.2","3.6",78,70,76,77,77,77,0,0,65,80,58,0,0,0,0,74,83,0,0,75,72,72,79,67,0,0,0,78,75,75,74,0,0,0,80,73,0,0,0,0,0,1,0,0
"1551","2008-09-20","A","4.5","3.5","1.65",78,69,75,71,72,70,0,0,70,76,79,0,0,0,0,75,76,0,0,79,78,84,82,85,83,0,0,76,88,72,0,0,0,0,86,77,0,0,0,0,0,0,1,0
"1552","2008-09-20","D","1.2","5.2","11",84,77,78,80,85,0,0,0,88,79,82,80,0,0,0,83,88,0,0,73,74,67,72,66,69,0,0,65,72,67,0,0,0,0,76,67,0,0,0,0,0,0,0,1
"1553","2008-09-20","H","2.25","3","3",81,76,76,72,76,71,0,0,75,73,72,0,0,0,0,78,78,0,0,70,77,72,69,77,0,0,0,72,81,68,74,83,0,0,73,0,0,0,0,0,0,1,0,0
"1554","2008-09-20","H","2","3.2","3.3",80,76,79,79,75,78,0,0,74,75,80,0,0,0,0,72,72,0,0,83,73,61,77,81,0,0,0,73,76,75,76,0,0,0,81,75,0,0,0,0,0,1,0,0
"1555","2008-09-21","D","2.1","3","3.3",88,85,88,82,83,0,0,0,86,84,86,81,0,0,0,83,83,0,0,85,79,73,87,83,84,0,0,76,63,85,0,0,0,0,86,87,0,0,0,0,0,0,0,1
"1556","2008-09-21","D","2.6","3.2","2.4",73,70,69,69,72,67,0,0,67,73,65,0,0,0,0,76,74,0,0,82,78,76,80,76,0,0,0,82,68,75,75,80,0,0,84,0,0,0,0,0,0,0,0,1
"1557","2008-09-21","H","1.9","3.2","3.6",78,82,78,80,79,73,0,0,83,75,81,0,0,0,0,81,85,0,0,83,78,74,78,77,69,73,0,73,81,0,0,0,0,0,76,81,0,0,0,0,0,1,0,0
"1558","2008-09-21","D","1.6","3.6","4.8",82,71,81,77,80,77,0,0,82,79,71,0,0,0,0,79,81,0,0,77,75,69,74,73,67,78,0,75,75,0,0,0,0,0,77,71,0,0,0,0,0,0,0,1
"1559","2008-09-21","A","2.8","3.1","2.3",77,66,68,69,70,0,0,0,70,69,73,68,74,0,0,70,0,0,0,80,74,76,79,84,83,75,0,77,77,0,0,0,0,0,81,81,0,0,0,0,0,0,1,0
"1560","2008-09-27","A","1.2","5.2","11",79,78,84,82,85,83,0,0,76,88,79,0,0,0,0,86,85,0,0,73,70,69,69,67,0,0,0,67,74,75,65,0,0,0,76,74,0,0,0,0,0,0,1,0
"1561","2008-09-27","H","1.65","3.4","4.7",80,74,76,79,84,83,75,0,77,77,0,0,0,0,0,81,81,0,0,81,76,71,76,76,71,0,0,75,72,72,0,0,0,0,78,78,0,0,0,0,0,1,0,0
"1562","2008-09-27","A","3.4","3.1","2",82,82,74,78,76,80,0,0,82,75,75,80,0,0,0,84,0,0,0,84,77,78,80,85,0,0,0,88,79,82,80,0,0,0,83,88,0,0,0,0,0,0,1,0
"1563","2008-09-27","A","2.2","3.1","3",75,72,72,79,67,0,0,0,78,75,75,74,0,0,0,80,73,0,0,80,75,79,79,75,78,0,0,74,75,80,0,0,0,0,72,72,0,0,0,0,0,0,1,0
"1564","2008-09-27","H","1.25","4.8","9.5",85,79,86,87,84,0,0,0,82,76,63,91,0,0,0,86,85,0,0,78,69,75,75,71,0,0,0,70,72,76,79,0,0,0,75,78,0,0,0,0,0,1,0,0
"1565","2008-09-27","A","1.75","3.3","4.2",70,77,69,77,71,0,0,0,81,74,65,83,0,0,0,73,76,0,0,77,70,68,69,70,0,0,0,70,69,73,68,74,0,0,70,0,0,0,0,0,0,0,1,0
"1566","2008-09-27","A","2.5","3.2","2.5",83,67,73,77,81,0,0,0,73,76,75,76,0,0,0,81,75,0,0,60,70,76,77,77,58,77,0,71,68,0,0,0,0,0,74,83,0,0,0,0,0,0,1,0
"1567","2008-09-27","A","7.5","4.2","1.35",73,74,67,72,70,0,0,0,65,72,67,0,0,0,0,69,76,67,0,88,82,88,82,83,0,0,0,86,86,81,0,0,0,0,87,79,83,0,0,0,0,0,1,0
"1568","2008-09-28","H","2.4","3.1","2.7",83,78,78,77,69,73,0,0,81,67,66,0,0,0,0,76,81,0,0,82,71,81,76,77,76,80,0,82,79,71,0,0,0,0,81,0,0,0,0,0,0,1,0,0
"1569","2008-09-28","H","2.8","3.1","2.3",77,75,69,73,67,78,0,0,69,74,75,0,0,0,0,77,71,0,0,78,82,78,80,79,73,0,0,83,75,81,0,0,0,0,81,85,0,0,0,0,0,1,0,0
"1570","2008-10-04","A","4.5","3.5","1.65",60,76,74,77,77,58,77,0,80,71,0,0,0,0,0,74,83,0,0,85,80,86,87,84,0,0,0,82,76,82,91,0,0,0,86,87,0,0,0,0,0,0,1,0
"1571","2008-10-04","D","4.5","3.5","1.65",81,76,71,76,76,71,0,0,75,72,73,0,0,0,0,78,68,0,0,79,84,82,85,83,0,0,0,76,88,72,79,0,0,0,86,85,0,0,0,0,0,0,0,1
"1572","2008-10-04","H","2.3","3.1","2.8",77,70,68,69,70,0,0,0,69,73,68,74,0,0,0,70,68,0,0,75,72,72,79,67,0,0,0,78,75,75,74,73,0,0,73,0,0,0,0,0,0,1,0,0
"1573","2008-10-04","A","2","3.2","3.3",77,75,69,74,73,78,0,0,69,74,75,0,0,0,0,77,71,0,0,70,71,77,64,71,0,0,0,81,74,65,83,0,0,0,73,76,0,0,0,0,0,0,1,0
"1574","2008-10-05","H","1.45","3.7","6.5",88,88,82,78,83,0,0,0,86,84,86,81,0,0,0,83,83,0,0,80,74,76,79,84,83,75,0,77,77,0,0,0,0,0,81,81,0,0,0,0,0,1,0,0
"1575","2008-10-05","D","1.7","3.4","4.3",82,82,74,78,76,0,0,0,82,75,75,77,0,0,0,80,84,0,0,83,73,77,81,73,0,0,0,73,76,74,75,76,0,0,81,0,0,0,0,0,0,0,0,1
"1576","2008-10-05","A","2.8","3.1","2.3",78,82,78,80,79,73,0,0,83,75,81,0,0,0,0,81,85,0,0,84,77,80,76,85,0,0,0,88,85,79,82,80,0,0,88,0,0,0,0,0,0,0,1,0
"1577","2008-10-05","H","1.6","3.6","4.8",83,78,78,77,69,73,0,0,73,75,67,0,0,0,0,76,81,0,0,71,74,67,72,70,69,0,0,66,67,46,0,0,0,0,74,76,0,0,0,0,0,1,0,0
"1578","2008-10-05","A","1.65","3.5","4.5",82,81,69,77,80,77,0,0,79,80,82,0,0,0,0,74,81,0,0,73,70,69,69,67,0,0,0,67,74,75,65,0,0,0,76,74,0,0,0,0,0,0,1,0
"1579","2008-10-05","A","1.8","3.2","4",80,76,79,79,75,78,0,0,74,75,80,0,0,0,0,72,72,0,0,78,69,75,75,71,0,0,0,70,72,76,79,0,0,0,75,78,0,0,0,0,0,0,1,0
"1580","2008-10-18","H","1.37","4.2","7.5",79,78,76,85,83,0,0,0,76,88,82,72,0,0,0,86,85,0,0,82,82,74,78,72,76,0,0,82,75,75,77,0,0,0,84,0,0,0,0,0,0,1,0,0
"1581","2008-10-18","D","1.8","3.2","4",80,81,76,79,84,80,83,0,77,77,0,0,0,0,0,81,81,0,0,83,72,78,78,77,69,0,0,73,75,66,0,0,0,0,76,81,0,0,0,0,0,0,0,1
"1582","2008-10-18","D","2.2","3.1","3",78,69,75,75,71,74,0,0,72,76,79,0,0,0,0,75,78,0,0,78,70,76,74,77,77,77,0,71,68,0,0,0,0,0,74,74,0,0,0,0,0,0,0,1
"1583","2008-10-18","D","2.25","3.1","2.9",75,72,72,79,67,0,0,0,78,75,75,74,0,0,0,80,73,0,0,81,76,71,76,76,71,0,0,65,75,72,0,0,0,0,74,78,0,0,0,0,0,0,0,1
"1584","2008-10-18","H","1.3","4.4","8.5",84,77,78,82,85,0,0,0,88,76,79,82,80,0,0,83,0,0,0,77,75,69,74,73,78,0,0,69,68,74,75,0,0,0,71,0,0,0,0,0,0,1,0,0
"1585","2008-10-18","H","1.2","5.2","11",85,67,86,87,84,0,0,0,76,82,63,91,0,0,0,86,87,0,0,77,70,68,69,70,0,0,0,70,69,73,68,74,0,0,70,0,0,0,0,0,0,1,0,0
"1586","2008-10-18","A","5","3.5","1.6",70,69,71,77,64,0,0,0,81,68,74,65,0,0,0,73,76,0,0,75,77,82,88,82,77,0,0,86,81,0,0,0,0,0,83,79,83,0,0,0,0,0,1,0
"1587","2008-10-19","H","2.3","3.1","2.8",73,70,69,69,67,0,0,0,67,74,75,65,0,0,0,76,74,0,0,80,71,79,79,75,78,0,0,74,75,80,0,0,0,0,78,72,0,0,0,0,0,1,0,0
"1588","2008-10-19","H","3","3.1","2.2",73,74,67,72,66,69,0,0,65,67,68,0,0,0,0,76,67,0,0,82,81,78,77,80,77,0,0,82,79,80,82,0,0,0,79,0,0,0,0,0,0,1,0,0
