"","match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"5321","2014-08-16","Arsenal","Crystal Palace","Wojciech Szczesny","Laurent Koscielny","Calum Chambers","Mathieu Debuchy","Kieran Gibbs","Mikel Arteta","Aaron Ramsey"," Santi Cazorla","Jack Wilshere"," Alexis S·nchez","Yaya Sanogo","Juli·n Speroni","Martin Kelly","Joel Ward","Scott Dann","Brede Hangeland","Mile Jedinak","Joe Ledley","Jason Puncheon","Yannick Bolasie","Fraizer Campbell","Marouane Chamakh"
"5322","2014-08-16","Leicester City","Everton","Kasper Schmeichel","Ritchie De Laet","Paul Konchesky","Liam Moore","Wes Morgan","Danny Drinkwater","Andy King","Anthony Knockaert","Riyad Mahrez","David Nugent","Leonardo Ulloa","Tim Howard","Sylvain Distin","John Stones","Gareth Barry","Phil Jagielka","Leighton Baines","James McCarthy","Aiden McGeady","Steven Pienaar","Steven Naismith","Romelu Lukaku"
"5323","2014-08-16","Manchester United","Swansea City","David De Gea","Tyler Blackett","Chris Smalling","Phil Jones"," Ander Herrera","Darren Fletcher"," Juan Mata","Jesse Lingard","Ashley Young","Javier Hern·ndez","Wayne Rooney","Lukasz Fabianski","Angel Rangel","Jordi Amat","Ashley Williams","Neil Taylor","Wayne Routledge","Jonjo Shelvey","Gylfi Sigursson","KI Sung-Yueng","Nathan Dyer","Wilfried Bony"
"5324","2014-08-16","Queens Park Rangers","Hull City","Rob Green","Danny Simpson","Steven Caulker","Richard Dunne","Rio Ferdinand","Armand TraorÈ","Joey Barton","Alejandro Faurlin","Jordon Mutch","Charlie Austin","LoÔc RÈmy","Allan McGregor","James Chester","Andy Robertson","Curtis Davies","Alex Bruce","Ahmed Elmohamady","Tom Huddlestone","Jake Livermore","Tom Ince","Robert Snodgrass","Nikica Jelavic"
"5325","2014-08-16","Stoke City","Aston Villa","Asmir Begovic","Phil Bardsley","Erik Pieters","Ryan Shawcross","Marc Wilson","Stephen Ireland","Steven N'Zonzi","Glenn Whelan","Marko Arnautovic","Mame Biram Diouf","Bojan Krkic","Brad Guzan","Aly Cissokho","Alan Hutton","Ron Vlaar","Philippe Senderos","Kieran Richardson","Ashley R Westwood","Fabian Delph","Charles N'Zogbia","Andi Weimann","Gabby Agbonlahor"
"5326","2014-08-16","West Bromwich Albion","Sunderland","Ben Foster","Craig Dawson","Jonas Olsson","SÈbastien Pocognoli","Craig Gardner","Andre Wisdom","Chris Brunt","Youssef Mulumbu","Graeme Dorrans","Victor Anichebe","Saido Berahino","Vito Mannone","Wes Brown","John O'Shea","Valentin Roberge","Patrick Van Aanholt","Seb Larsson","Jack Rodwell","Lee Cattermole","Adam Johnson","Steven Fletcher","Connor Wickham"
"5327","2014-08-16","West Ham United","Tottenham Hotspur"," Adri·n","James M Collins","Winston Reid","Cheikhou KouyatÈ","Joey O'Brien","Aaron Cresswell","Stewart Downing","Mark Noble","Kevin Nolan","Ricardo Vaz Te","Carlton Cole","Hugo Lloris","YounËs Kaboul","Eric Dier","Kyle Naughton","Danny Rose","Nabil Bentaleb","Etienne Capoue","Christian Eriksen","Erik Lamela","Aaron Lennon","Emmanuel Adebayor"
"5328","2014-08-17","Liverpool","Southampton","Simon Mignolet","Dejan Lovren","Javi Manquillo","Martin äkrtel","Glen Johnson"," Lucas Leiva","Steven Gerrard","Jordan Henderson","Philippe Coutinho","Raheem Sterling","Daniel Sturridge","Fraser Forster","Nathaniel Clyne","JosÈ Fonte","Maya Yoshida","Ryan Bertrand","Morgan Schneiderlin","Steven Davis","Duöan Tadic","Victor Wanyama","James Ward-Prowse","Graziano Pelle"
"5329","2014-08-17","Newcastle United","Manchester City","Tim Krul","Paul Dummett","Daryl Janmaat","Mike Williamson","Vurnon Anita","Jack Colback","Fabricio Coloccini","Remy Cabella","Moussa Sissoko","Yoan Gouffran","Emmanuel Riviere","Joe Hart","Martin Demichelis","Aleksandar Kolarov","Vincent Kompany","GaÎl Clichy"," David Silva"," Fernando","Samir Nasri","Yaya TourÈ","Edin Dûeko","Stevan Jovetic"
"5330","2014-08-18","Burnley","Chelsea","Tom Heaton","Ben Mee","Jason Shackell","Michael Duff","Matt Taylor","Kieran Trippier","Scott Arfield","David Jones","Dean Marney","Danny Ings","Lukas Jutkiewicz","Thibaut Courtois","Gary Cahill","John Terry","CÈsar Azpilicueta","Branislav Ivanovic","Cesc F‡bregas","Eden Hazard","Nemanja Matic"," Oscar"," Diego Costa","AndrÈ Sch¸rrle"
"5331","2014-08-23","Aston Villa","Newcastle United","Brad Guzan","Aly Cissokho","Alan Hutton","Ron Vlaar","Philippe Senderos","Kieran Richardson","Ashley R Westwood","Fabian Delph","Charles N'Zogbia","Andi Weimann","Gabby Agbonlahor","Tim Krul","Paul Dummett","Daryl Janmaat","Mike Williamson","Vurnon Anita","Jack Colback","Fabricio Coloccini","Remy Cabella","Moussa Sissoko","Yoan Gouffran","Emmanuel Riviere"
"5332","2014-08-23","Chelsea","Leicester City","Thibaut Courtois","Gary Cahill","John Terry","CÈsar Azpilicueta","Branislav Ivanovic","Cesc F‡bregas","Eden Hazard","Nemanja Matic"," Oscar"," Diego Costa","AndrÈ Sch¸rrle","Kasper Schmeichel","Ritchie De Laet","Paul Konchesky","Liam Moore","Wes Morgan","Jeffrey Schlupp","Dean Hammond","Andy King","Riyad Mahrez","David Nugent","Leonardo Ulloa"
"5333","2014-08-23","Crystal Palace","West Ham United","Juli·n Speroni","Martin Kelly","Joel Ward","Brede Hangeland","Damien Delaney","Mile Jedinak","Barry Bannan","Stuart O'Keefe","Yannick Bolasie","Fraizer Campbell","Marouane Chamakh"," Adri·n","James Tomkins","Winston Reid","Cheikhou KouyatÈ","Joey O'Brien","Aaron Cresswell","Stewart Downing","Mark Noble","Ricardo Vaz Te","Carlton Cole","Mauro Z·rate"
