"","name","MV","season"
"320","James Vaughan",270000,"20062007"
"321","Victor Anichebe",45000,"20062007"
"322","Mark Schwarzer",3380000,"20062007"
"323","Brad Jones",315000,"20062007"
"324","Ross Turnbull",45000,"20062007"
"325","David Knight",45000,"20062007"
"326","Jonathan Woodgate",10800000,"20062007"
"327","Emanuel Pogatetz",3420000,"20062007"
"328","Ugo Ehiogu",2700000,"20062007"
"329","Chris Riggott",2520000,"20062007"
"330","Robert Huth",2480000,"20062007"
"331","Matthew Bates",810000,"20062007"
"332","Andrew Davies",450000,"20062007"
"333","David Wheater",45000,"20062007"
"334","Seb Hines",0,"20062007"
"335","Rhys Williams",0,"20062007"
"336","Andrew Taylor",90000,"20062007"
"337","Stuart Parnaby",1350000,"20062007"
"338","Abel Xavier",765000,"20062007"
"339","Tony McMahon",45000,"20062007"
"340","George Boateng",5130000,"20062007"
"341","Lee Cattermole",630000,"20062007"
"342","Fábio Rochemback",5940000,"20062007"
"343","Julio Arca",2880000,"20062007"
"344","James Morrison",2030000,"20062007"
"345","Josh Walker",0,"20062007"
"346","Gaizka Mendieta",4680000,"20062007"
"347","Stewart Downing",6300000,"20062007"
"348","Malcolm Christie",2160000,"20062007"
"349","Adam Johnson",360000,"20062007"
"350","Jason Euell",7200000,"20062007"
"351","Yakubu Aiyegbeni",9900000,"20062007"
"352","Mark Viduka",4950000,"20062007"
"353","Massimo Maccarone",3150000,"20062007"
"354","Dong-guk Lee",9e+05,"20062007"
"355","Danny Graham",360000,"20062007"
"356","Tom Craddock",0,"20062007"
"357","Andreas Isaksson",5400000,"20062007"
"358","Joe Hart",810000,"20062007"
"359","Nicky Weaver",630000,"20062007"
"360","Sylvain Distin",7200000,"20062007"
"361","Richard Dunne",4500000,"20062007"
"362","Jihai Sun",4050000,"20062007"
"363","Nedum Onuoha",1800000,"20062007"
"364","Micah Richards",1170000,"20062007"
"365","Stephen Jordan",810000,"20062007"
"366","Matthew Mills",360000,"20062007"
"367","Ben Thatcher",3830000,"20062007"
"368","DaMarcus Beasley",3150000,"20062007"
"369","Michael Ball",2250000,"20062007"
"370","Danny Mills",5130000,"20062007"
"371","Hatem Trabelsi",4500000,"20062007"
"372","Danny Warrender",180000,"20062007"
"373","Nathan D'Laryea",0,"20062007"
