"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTGS","ATGS","HTGC","ATGC","HTP","ATP","HTS","ATS","HTST","ATST","home_start_mv","away_start_mv","HomeTeamLP","AwayTeamLP","HomeAvgAge","AwayAvgAge","HomeAvgMV","AwayAvgMV","MW","HM1","AM1","HM2","AM2","HM3","AM3","HM4","AM4","HM5","AM5","HM10","AM10","HM20","AM20","HMH1","AMA1","Distance","HTGD","ATGD","DiffPts","DiffLP"
"2311","2006-09-09","Chelsea","Charlton","2","1","H","6","3","2","6",1.5,0.75,8,5.25,4.25,2.25,253580000,30612000,1,13,23.2,24.7,9.82,1.87,4,3,0,3,3,6,3,0,0,0,0,0,0,0,0,3,0,16,1,-0.75,0.75,-12
"2312","2006-09-09","Everton","Liverpool","3","0","H","5","3","2","5",1.75,1,5.5,13,2,5,41641000,98783000,11,3,25,23.6,3.31,5.89,4,3,3,4,3,7,4,0,0,0,0,0,0,0,0,3,1,1,0.75,-0.5,0.75,8
"2313","2006-09-09","ManUnited","Tottenham","1","0","H","10","2","2","4",2.25,0.75,13.75,10.5,7,6.25,103140000,80011000,2,5,24.2,23.1,6.24,4.06,4,3,0,6,3,9,3,0,0,0,0,0,0,0,0,3,0,256,2,-0.5,1.5,-3
"2314","2006-09-09","Newcastle","Fulham","1","2","A","3","3","5","6",0.75,0.75,8,8.25,5,4.25,62191000,28851000,7,12,25,26.3,4.66,2.05,4,0,0,0,3,3,3,0,0,0,0,0,0,0,0,3,0,401,-0.5,-0.75,0,-5
"2315","2006-09-09","Portsmouth","Wigan","1","0","H","7","2","0","3",1.75,0.75,8.5,10,6,4.75,32951000,31371000,17,10,26.4,26,2.71,1.67,4,3,3,4,3,7,3,0,0,0,0,0,0,0,0,3,0,325,1.75,-0.25,1,7
"2316","2006-09-09","SheffieldUnited","Blackburn","0","0","D","1","1","4","6",0.25,0.25,5,7.75,1.75,3.75,12543000,29971000,18,6,25.1,26.6,0.66,2.25,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,78,-0.75,-1.25,0,12
"2317","2006-09-10","WestHam","AstonVilla","1","1","D","5","5","4","2",1,1.75,8,6.25,3,4,29860000,24404000,9,16,25.1,24.8,2.55,2.73,4,0,3,1,6,4,7,0,0,0,0,0,0,0,0,3,1,167,0.25,0.75,-0.75,-7
"2318","2006-09-11","Reading","ManCity","1","0","H","4","1","5","3",0.75,1,6,5.25,3.75,2,7922000,35730000,18,15,24,24.4,0.622,2.72,4,0,3,0,4,3,4,0,0,0,0,0,0,0,0,3,0,244,-0.25,-0.5,-0.25,3
"2319","2006-09-16","Bolton","Middlesbrough","0","0","D","3","4","3","8",1.5,1,4.75,8.75,2.25,3.75,25895000,28362000,8,14,24.6,23.2,1.65,2.49,4,3,1,3,4,6,4,0,0,0,0,0,0,0,0,3,1,141,0,-1,0.5,-6
"2320","2006-09-16","Charlton","Portsmouth","0","1","A","3","7","6","0",0.75,1.75,5.25,8.5,2.25,6,29312000,32951000,13,17,24.7,26.4,1.87,2.71,4,0,3,3,4,3,7,0,0,0,0,0,0,0,0,3,3,109,-0.75,1.75,-1,-4
"2321","2006-09-16","Everton","Wigan","2","2","D","8","4","2","5",2,0.6,6,10,2.8,5.2,41641000,30066000,11,10,25,26,3.31,1.67,5,3,0,6,3,7,3,10,3,0,0,0,0,0,0,3,0,24,1.2,-0.2,1.4,1
"2322","2006-09-16","SheffieldUnited","Reading","1","2","A","1","5","4","5",0.4,1.2,6.8,7.2,3.2,4.4,13713000,7922000,18,18,25.1,24,0.66,0.622,5,1,3,1,3,1,3,2,6,0,0,0,0,0,0,1,0,219,-0.6,0,-0.8,0
"2323","2006-09-16","Watford","AstonVilla","0","0","D","3","6","6","3",0.2,1.6,9.2,7,5,4.4,11255000,24404000,18,16,23.1,24.8,0.412,2.73,5,0,1,0,4,1,7,1,8,0,0,0,0,0,0,0,1,139,-0.6,0.6,-1.4,2
"2324","2006-09-17","Blackburn","ManCity","4","2","H","1","1","6","4",0.4,0.8,8.6,7.2,3.2,3.2,29971000,36810000,6,15,26.6,24.4,2.25,2.72,5,1,0,1,3,2,4,2,4,0,0,0,0,0,0,0,0,33,-1,-0.6,-0.4,-9
"2325","2006-09-17","Chelsea","Liverpool","1","0","H","8","3","3","6",1.8,0.8,10.2,12.2,4.6,5.2,247501000,121550000,1,3,23.2,23.6,9.82,5.89,5,3,0,6,3,6,3,9,4,0,0,0,0,0,0,3,0,287,1,-0.6,1,-2
"2326","2006-09-17","ManUnited","Arsenal","0","1","A","11","3","2","3",2.4,0.4,13,14,6.6,7.2,122131000,69044000,2,4,24.2,22.8,6.24,5.69,5,3,0,6,1,9,1,12,2,0,0,0,0,0,0,3,0,259,1.8,0,2,-2
"2327","2006-09-17","Tottenham","Fulham","0","0","D","2","5","5","7",0.6,1.2,10.2,8.2,5.8,4.4,79111000,24621000,5,12,23.1,26.3,4.06,2.05,5,0,3,0,3,3,6,3,6,0,0,0,0,0,0,0,3,18,-0.6,-0.4,-0.6,-7
"2328","2006-09-17","WestHam","Newcastle","0","2","A","6","5","5","5",1,0.6,7.8,9.6,2.6,5.8,33551000,63001000,9,7,25.1,25,2.55,4.66,5,1,0,1,0,2,0,5,3,0,0,0,0,0,0,1,0,397,0.2,0,0.4,2
"2329","2006-09-20","Liverpool","Newcastle","2","0","H","3","5","6","5",0.8,0.6,12.2,9.6,5.2,5.8,114982000,56971000,3,7,23.6,25,5.89,4.66,5,0,0,3,0,3,0,4,3,0,0,0,0,0,0,3,3,193,-0.6,0,0.2,-4
