"","name","MV","season"
"226","Bobby OlejnikB. Olejnik","£90k  ","20062007"
"227","Olof MellbergO. Mellberg","£6.53m  ","20062007"
"228","Martin LaursenM. Laursen","£3.96m  ","20062007"
"229","Aaron HughesA. Hughes","£2.48m  ","20062007"
"230","Liam RidgewellL. Ridgewell","£1.98m  ","20062007"
"231","Gary CahillG. Cahill","£315k  ","20062007"
"232","Wilfred BoumaW. Bouma","£4.32m  ","20062007"
"233","Mark DelaneyM. Delaney","£1.53m  ","20062007"
"234","Phil BardsleyP. Bardsley","£68k  ","20062007"
"235","Gareth BarryG. Barry","£3.83m  ","20062007"
"236","Jlloyd SamuelJ. Samuel","£2.70m  ","20062007"
"237","Eric Djemba-DjembaE. Djemba-Djemba","£1.80m  ","20062007"
"238","Isaiah OsbourneI. Osbourne"," ","20062007"
"239","Stiliyan PetrovS. Petrov","£6.62m  ","20062007"
"240","Gavin McCannG. McCann","£3.15m  ","20062007"
"241","Steven DavisS. Davis","£3.15m  ","20062007"
"242","Peter WhittinghamP. Whittingham","£765k  ","20062007"
"243","Craig GardnerC. Gardner","£90k  ","20062007"
"244","Didier AgathéD. Agathé","£1.35m  ","20062007"
"245","Lee HendrieL. Hendrie","£1.98m  ","20062007"
"246","Ashley YoungA. Young","£1.35m  ","20062007"
"247","Patrik BergerP. Berger","£2.70m  ","20062007"
"248","Shaun MaloneyS. Maloney","£2.70m  ","20062007"
"249","Milan BarosM. Baros","£8.10m  ","20062007"
"250","John CarewJ. Carew","£6.75m  ","20062007"
"251","Juan Pablo ÁngelJ. Ángel","£5.85m  ","20062007"
"252","Kevin PhillipsK. Phillips","£3.15m  ","20062007"
"253","Chris SuttonC. Sutton","£2.97m  ","20062007"
"254","Luke MooreL. Moore","£1.80m  ","20062007"
"255","Gabriel AgbonlahorG. Agbonlahor","£90k  ","20062007"
"256","Sam WilliamsS. Williams"," ","20062007"
"257","Robert GreenR. Green","£4.50m  ","20062007"
"258","Roy CarrollR. Carroll","£2.43m  ","20062007"
"259","Jimmy WalkerJ. Walker","£540k  ","20062007"
"260","Javier MascheranoJ. Mascherano","£10.62m  ","20062007"
"261","Matthew UpsonM. Upson","£5.18m  ","20062007"
"262","Anton FerdinandA. Ferdinand","£3.15m  ","20062007"
"263","Lucas NeillL. Neill","£2.70m  ","20062007"
"264","Christian DaillyC. Dailly","£1.80m  ","20062007"
"265","Calum DavenportC. Davenport","£1.35m  ","20062007"
"266","Danny GabbidonD. Gabbidon","£900k  ","20062007"
"267","James CollinsJ. Collins","£450k  ","20062007"
"268","Paul KoncheskyP. Konchesky","£3.60m  ","20062007"
"269","George McCartneyG. McCartney","£450k  ","20062007"
"270","Jonathan SpectorJ. Spector","£1.13m  ","20062007"
"271","John PaintsilJ. Paintsil","£675k  ","20062007"
